satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,id_employe,age,genre,revenu_mensuel,statut_marital,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion
3,2,1,2,3,4,Non,27,36,M,3407,Célibataire,Représentant Commercial,7,5,1,0,4,9,4,Infra & Cloud,Occasionnel,0
1,3,2,3,3,3,Non,28,34,F,11994,Célibataire,Directeur Technique,0,12,0,0,4,7,4,Infra & Cloud,Occasionnel,2
3,3,4,4,3,3,Non,30,21,M,1232,Célibataire,Assistant de Direction,1,0,0,0,6,15,2,Infra & Cloud,Occasionnel,0
2,3,1,3,3,3,Non,31,34,M,2960,Célibataire,Assistant de Direction,2,4,1,0,2,6,1,Transformation Digitale,Occasionnel,1
3,3,3,4,2,3,Non,32,53,F,19094,Divorcé(e),Senior Manager,4,14,0,1,3,5,3,Autre,Occasionnel,4
2,1,1,2,3,4,Oui,33,32,F,3919,Célibataire,Assistant de Direction,1,10,1,0,5,16,1,Infra & Cloud,Frequent,6
3,3,2,4,3,3,Non,35,42,M,6825,Marié(e),Cadre Commercial,0,9,0,1,2,8,4,Marketing,Occasionnel,4
1,2,4,4,3,3,Non,36,44,F,10248,Marié(e),Manager,3,22,0,1,4,7,4,Transformation Digitale,Occasionnel,5
2,3,1,4,2,3,Non,38,46,F,18947,Célibataire,Senior Manager,3,2,0,0,2,2,4,Marketing,Occasionnel,2
3,3,4,4,3,3,Non,39,33,M,2496,Célibataire,Consultant,4,1,0,0,3,2,3,Transformation Digitale,Occasionnel,0
4,3,4,4,4,3,Oui,40,44,M,6465,Marié(e),Manager,2,4,0,0,5,10,4,Autre,Occasionnel,1
4,2,3,1,3,3,Non,41,30,M,2206,Célibataire,Consultant,1,10,0,0,5,9,2,Transformation Digitale,Occasionnel,1
4,3,4,3,4,3,Non,42,39,M,2086,Marié(e),Représentant Commercial,3,1,1,1,6,5,3,Entrepreunariat,Occasionnel,0
2,3,4,1,2,3,Oui,45,24,M,2293,Marié(e),Assistant de Direction,2,2,1,1,2,1,3,Transformation Digitale,Occasionnel,2
4,4,3,4,2,3,Non,46,43,F,2645,Divorcé(e),Assistant de Direction,1,5,0,2,3,2,2,Transformation Digitale,Occasionnel,1
1,2,3,3,3,3,Oui,47,50,M,2683,Marié(e),Représentant Commercial,1,3,1,0,2,3,2,Marketing,Occasionnel,0
4,3,4,1,3,3,Non,49,35,F,2014,Marié(e),Représentant Commercial,1,2,0,0,3,2,3,Marketing,Occasionnel,2
2,2,1,4,4,3,Oui,51,36,F,3419,Marié(e),Assistant de Direction,9,1,0,1,3,5,4,Infra & Cloud,Occasionnel,0
3,4,1,1,3,3,Non,52,33,F,5376,Marié(e),Cadre Commercial,2,5,0,2,3,1,3,Infra & Cloud,Frequent,1
3,3,4,3,3,3,Non,53,35,M,1951,Divorcé(e),Consultant,1,1,0,1,3,4,2,Autre,Occasionnel,0
4,3,1,4,3,3,Non,54,27,F,2341,Divorcé(e),Consultant,1,1,0,1,6,2,4,Infra & Cloud,Occasionnel,0
1,1,3,3,2,3,Non,55,26,M,2293,Célibataire,Consultant,1,1,1,0,2,25,3,Infra & Cloud,Occasionnel,0
4,3,3,4,3,3,Non,56,27,M,8726,Célibataire,Cadre Commercial,1,9,0,0,0,8,3,Infra & Cloud,Frequent,1
3,3,4,4,3,4,Non,57,30,F,4011,Célibataire,Consultant,1,12,0,0,2,1,2,Transformation Digitale,Frequent,3
2,3,3,4,3,3,Non,58,41,F,19545,Marié(e),Directeur Technique,1,22,1,0,0,12,3,Entrepreunariat,Occasionnel,15
2,3,3,3,3,4,Non,60,34,M,4568,Célibataire,Cadre Commercial,0,9,0,0,2,23,4,Marketing,Aucun,8
2,3,2,1,3,4,Non,61,37,M,3022,Marié(e),Assistant de Direction,4,1,0,0,1,19,2,Infra & Cloud,Occasionnel,0
1,3,4,3,3,4,Oui,62,46,M,5772,Célibataire,Cadre Commercial,4,9,0,0,4,5,4,Marketing,Frequent,0
4,4,4,4,3,3,Non,63,35,M,2269,Marié(e),Consultant,1,1,0,0,2,8,1,Infra & Cloud,Occasionnel,0
1,2,3,4,3,3,Oui,64,48,M,5381,Célibataire,Consultant,9,1,1,0,2,1,2,Infra & Cloud,Occasionnel,0
3,3,3,3,2,3,Oui,65,28,M,3441,Célibataire,Consultant,1,2,1,0,3,5,4,Entrepreunariat,Occasionnel,2
2,3,1,3,2,4,Oui,68,44,F,5454,Divorcé(e),Cadre Commercial,5,4,0,1,2,1,5,Marketing,Occasionnel,1
3,2,1,3,3,3,Oui,70,35,M,9884,Marié(e),Manager,2,4,0,1,3,11,2,Transformation Digitale,Aucun,2
3,2,4,3,2,3,Oui,72,26,F,4157,Marié(e),Cadre Commercial,7,2,0,1,2,23,3,Marketing,Occasionnel,0
1,3,4,3,3,3,Oui,73,33,F,13458,Célibataire,Directeur Technique,1,15,0,0,1,1,2,Infra & Cloud,Frequent,8
2,3,1,4,2,4,Non,74,35,M,9069,Marié(e),Cadre Commercial,1,9,0,1,3,18,5,Infra & Cloud,Frequent,1
3,3,1,3,3,3,Oui,75,35,F,4014,Marié(e),Consultant,3,2,0,1,3,23,4,Transformation Digitale,Occasionnel,2
4,3,4,4,2,4,Non,76,31,M,5915,Divorcé(e),Consultant,3,7,0,1,3,7,4,Infra & Cloud,Occasionnel,1
1,2,3,3,4,3,Non,77,37,M,5993,Divorcé(e),Tech Lead,1,7,0,1,2,1,4,Infra & Cloud,Occasionnel,0
1,3,4,2,3,4,Oui,78,32,M,6162,Marié(e),Tech Lead,1,9,0,1,3,1,3,Transformation Digitale,Occasionnel,7
4,3,4,4,3,3,Non,79,38,F,2406,Célibataire,Consultant,1,10,0,0,2,29,5,Infra & Cloud,Frequent,9
2,2,3,4,2,3,Oui,80,50,F,18740,Divorcé(e),Directeur Technique,5,27,0,1,2,7,2,Transformation Digitale,Occasionnel,13
1,3,1,4,2,3,Non,81,59,F,7637,Célibataire,Cadre Commercial,7,21,0,0,3,25,3,Infra & Cloud,Occasionnel,7
3,3,3,2,3,3,Non,83,36,F,10096,Divorcé(e),Manager,1,17,0,3,2,8,3,Entrepreunariat,Occasionnel,12
4,3,3,3,3,3,Oui,84,55,F,14756,Divorcé(e),Senior Manager,2,5,0,3,2,8,3,Transformation Digitale,Occasionnel,0
2,2,2,3,3,3,Non,85,36,M,6499,Célibataire,Tech Lead,1,6,0,0,3,11,3,Infra & Cloud,Frequent,0
2,3,1,3,3,3,Non,86,45,M,9724,Divorcé(e),Assistant de Direction,2,1,0,1,2,7,3,Infra & Cloud,Occasionnel,0
2,3,1,4,2,3,Non,88,35,M,2194,Marié(e),Assistant de Direction,4,3,0,1,2,1,3,Transformation Digitale,Frequent,1
4,2,3,1,2,3,Oui,90,36,M,3388,Marié(e),Assistant de Direction,0,1,1,1,0,9,3,Transformation Digitale,Occasionnel,0
1,2,3,4,2,3,Non,91,59,F,5473,Célibataire,Cadre Commercial,7,4,0,0,2,1,1,Infra & Cloud,Frequent,1
3,3,2,4,3,4,Non,94,29,M,2703,Marié(e),Assistant de Direction,0,5,0,1,3,2,3,Infra & Cloud,Occasionnel,0
3,3,2,2,3,3,Non,95,31,M,2501,Célibataire,Assistant de Direction,1,1,0,0,4,1,4,Transformation Digitale,Occasionnel,1
2,3,2,2,3,3,Non,96,32,M,6220,Marié(e),Assistant de Direction,1,10,0,2,3,1,3,Infra & Cloud,Occasionnel,0
2,4,4,2,3,3,Non,97,36,F,3038,Marié(e),Consultant,3,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0
3,3,4,4,3,4,Non,98,31,F,4424,Célibataire,Tech Lead,1,11,0,0,2,8,4,Infra & Cloud,Occasionnel,1
3,2,1,2,3,3,Non,100,35,M,4312,Célibataire,Cadre Commercial,0,15,0,0,2,1,4,Marketing,Occasionnel,2
4,3,1,2,4,3,Oui,101,45,M,13245,Marié(e),Directeur Technique,4,0,0,0,3,6,4,Autre,Occasionnel,0
1,3,3,1,4,3,Non,102,37,M,13664,Célibataire,Directeur Technique,4,5,0,0,3,7,4,Transformation Digitale,Occasionnel,0
2,3,2,4,3,4,Oui,103,46,M,5021,Divorcé(e),Ressources Humaines,8,4,0,1,2,5,2,Transformation Digitale,Occasionnel,0
4,2,4,3,2,3,Oui,104,30,M,5126,Marié(e),Consultant,1,10,0,2,1,1,1,Infra & Cloud,Occasionnel,3
2,2,3,1,3,3,Non,105,35,M,2859,Célibataire,Assistant de Direction,1,6,0,0,3,1,3,Transformation Digitale,Occasionnel,0
1,3,4,4,3,3,Non,106,55,M,10239,Marié(e),Cadre Commercial,3,1,0,1,4,1,2,Infra & Cloud,Occasionnel,1
2,1,4,4,3,3,Oui,107,38,F,5329,Divorcé(e),Assistant de Direction,7,13,0,3,3,6,3,Transformation Digitale,Aucun,1
1,3,2,3,3,3,Non,110,34,M,4325,Marié(e),Tech Lead,1,5,0,0,2,1,2,Transformation Digitale,Occasionnel,1
4,1,4,1,2,3,Non,112,56,M,7260,Célibataire,Tech Lead,4,6,0,0,3,7,3,Infra & Cloud,Occasionnel,0
3,3,1,3,3,3,Non,113,23,M,2322,Divorcé(e),Représentant Commercial,3,0,0,1,3,2,1,Entrepreunariat,Occasionnel,0
4,3,4,2,3,4,Non,116,51,M,2075,Marié(e),Consultant,3,4,0,2,4,9,4,Infra & Cloud,Occasionnel,0
3,2,4,1,3,3,Non,117,30,M,4152,Marié(e),Manager,1,11,0,3,3,2,3,Infra & Cloud,Occasionnel,10
3,2,4,4,3,3,Non,118,46,M,9619,Célibataire,Cadre Commercial,1,9,1,0,3,9,2,Transformation Digitale,Occasionnel,4
3,2,2,4,2,4,Non,119,40,M,13503,Marié(e),Manager,1,22,0,1,3,1,4,Infra & Cloud,Frequent,11
3,3,4,4,1,4,Oui,120,51,M,5441,Célibataire,Cadre Commercial,0,10,0,0,2,21,4,Marketing,Occasionnel,1
3,2,2,2,2,3,Oui,121,30,F,5209,Divorcé(e),Cadre Commercial,1,11,0,3,4,4,2,Transformation Digitale,Occasionnel,2
3,2,1,3,2,3,Oui,124,46,M,10673,Marié(e),Manager,2,10,0,1,5,1,3,Transformation Digitale,Frequent,9
2,3,3,1,3,3,Non,125,32,M,5010,Célibataire,Cadre Commercial,1,11,0,0,0,6,4,Transformation Digitale,Occasionnel,5
1,3,3,1,1,3,Non,126,54,F,13549,Marié(e),Directeur Technique,9,4,0,1,5,2,4,Entrepreunariat,Occasionnel,0
1,3,3,1,2,4,Non,128,24,F,4999,Marié(e),Cadre Commercial,0,3,0,1,2,3,2,Autre,Occasionnel,0
2,3,3,2,4,3,Non,129,28,M,4221,Marié(e),Cadre Commercial,1,5,0,0,3,4,3,Transformation Digitale,Aucun,0
4,3,3,3,2,3,Non,131,58,M,13872,Célibataire,Cadre Commercial,0,37,0,0,1,10,4,Transformation Digitale,Occasionnel,1
2,3,2,3,4,3,Non,132,44,M,2042,Marié(e),Consultant,4,3,0,1,3,23,3,Transformation Digitale,Aucun,1
3,3,1,4,3,4,Oui,133,37,M,2073,Divorcé(e),Ressources Humaines,4,3,1,0,3,6,4,Ressources Humaines,Occasionnel,0
4,3,1,4,3,3,Non,134,32,M,2956,Célibataire,Assistant de Direction,1,1,0,0,2,1,1,Infra & Cloud,Occasionnel,0
4,2,4,2,3,3,Oui,137,20,F,2926,Célibataire,Consultant,1,1,1,0,5,6,3,Infra & Cloud,Frequent,1
1,3,3,3,3,3,Non,138,34,F,4809,Célibataire,Assistant de Direction,1,16,0,0,3,6,4,Autre,Occasionnel,2
3,2,4,4,4,3,Non,139,37,M,5163,Divorcé(e),Manager,5,1,0,1,2,2,2,Infra & Cloud,Aucun,0
3,2,4,4,3,4,Non,140,59,F,18844,Marié(e),Senior Manager,9,3,0,1,3,2,4,Ressources Humaines,Aucun,2
1,3,2,1,2,3,Oui,141,50,F,18172,Marié(e),Directeur Technique,3,8,0,0,1,1,3,Infra & Cloud,Frequent,0
3,2,3,4,3,3,Oui,142,25,M,5744,Célibataire,Cadre Commercial,1,6,1,0,1,5,3,Marketing,Occasionnel,0
4,2,4,3,3,3,Non,143,25,M,2889,Marié(e),Assistant de Direction,1,2,0,2,2,7,1,Transformation Digitale,Occasionnel,2
2,3,4,3,3,3,Non,144,22,F,2871,Célibataire,Consultant,1,0,0,0,5,15,3,Transformation Digitale,Occasionnel,0
1,2,1,3,2,4,Non,145,51,F,7484,Célibataire,Manager,3,13,0,0,1,1,4,Transformation Digitale,Frequent,12
1,1,3,4,3,4,Oui,147,34,M,6074,Célibataire,Consultant,1,9,1,0,3,7,3,Infra & Cloud,Frequent,0
4,4,4,3,3,3,Oui,148,54,F,17328,Célibataire,Senior Manager,2,5,0,0,3,26,3,Ressources Humaines,Aucun,4
2,3,3,3,3,3,Non,150,24,M,2774,Marié(e),Consultant,0,5,0,1,2,18,1,Infra & Cloud,Occasionnel,1
3,2,2,3,3,3,Non,151,34,F,4505,Divorcé(e),Assistant de Direction,6,1,0,1,3,6,4,Infra & Cloud,Occasionnel,0
3,3,4,1,3,3,Non,152,37,M,7428,Célibataire,Cadre Commercial,2,5,0,0,3,3,3,Infra & Cloud,Occasionnel,1
3,2,1,4,3,3,Non,153,34,F,11631,Célibataire,Senior Manager,2,11,0,0,6,5,3,Transformation Digitale,Occasionnel,5
2,3,4,3,3,3,Non,154,36,F,9738,Marié(e),Cadre Commercial,0,9,0,1,6,11,2,Entrepreunariat,Frequent,2
1,3,4,1,3,4,Non,155,36,F,2835,Divorcé(e),Consultant,5,1,0,1,2,3,2,Infra & Cloud,Occasionnel,0
3,3,4,4,4,3,Oui,158,43,M,16959,Marié(e),Senior Manager,1,25,0,2,3,26,2,Infra & Cloud,Frequent,4
1,1,3,3,2,4,Non,159,30,M,2613,Divorcé(e),Assistant de Direction,1,10,0,3,2,23,3,Infra & Cloud,Frequent,0
3,3,2,1,4,3,Non,160,33,M,6146,Marié(e),Cadre Commercial,0,7,0,1,2,22,2,Marketing,Aucun,0
2,3,2,1,3,3,Oui,161,56,F,4963,Marié(e),Assistant de Direction,9,5,1,3,2,14,4,Infra & Cloud,Occasionnel,4
1,3,3,3,3,3,Non,162,51,M,19537,Célibataire,Directeur Technique,7,20,0,0,5,6,3,Infra & Cloud,Occasionnel,15
2,1,3,2,2,3,Oui,163,31,M,6172,Marié(e),Cadre Commercial,4,7,1,0,3,6,4,Infra & Cloud,Occasionnel,7
3,2,2,3,2,3,Non,164,26,F,2368,Marié(e),Assistant de Direction,1,5,0,0,3,6,3,Autre,Occasionnel,4
4,3,4,4,2,3,Non,165,58,F,10312,Marié(e),Manager,1,40,1,1,3,23,4,Transformation Digitale,Occasionnel,15
4,3,3,4,2,3,Oui,167,19,M,1675,Célibataire,Représentant Commercial,1,0,1,0,2,22,1,Marketing,Occasionnel,0
3,3,4,3,3,3,Non,169,22,M,2523,Marié(e),Consultant,0,2,0,1,2,2,1,Entrepreunariat,Occasionnel,2
3,3,1,3,2,3,Non,170,49,F,6567,Marié(e),Tech Lead,1,15,0,0,2,20,4,Transformation Digitale,Occasionnel,5
2,4,3,4,3,3,Non,171,43,F,4739,Célibataire,Assistant de Direction,4,3,0,0,2,28,3,Transformation Digitale,Frequent,1
3,3,4,4,3,3,Non,174,50,F,9208,Célibataire,Cadre Commercial,4,2,0,0,3,12,3,Marketing,Frequent,2
2,1,3,3,3,3,Oui,175,31,F,4559,Marié(e),Cadre Commercial,3,2,1,1,2,20,3,Infra & Cloud,Occasionnel,2
3,3,3,3,3,3,Oui,176,41,M,8189,Divorcé(e),Cadre Commercial,3,9,0,1,2,9,1,Infra & Cloud,Occasionnel,0
3,3,3,4,3,4,Non,177,26,F,2942,Marié(e),Ressources Humaines,1,8,0,1,3,25,1,Infra & Cloud,Occasionnel,5
2,3,2,4,3,4,Non,178,36,M,4941,Divorcé(e),Tech Lead,6,3,0,2,0,6,2,Transformation Digitale,Occasionnel,0
1,1,4,4,3,3,Non,179,51,M,10650,Célibataire,Tech Lead,2,4,1,0,2,8,4,Infra & Cloud,Frequent,0
4,2,3,3,4,3,Non,182,39,F,5902,Marié(e),Cadre Commercial,4,15,0,1,1,4,4,Infra & Cloud,Occasionnel,5
1,2,3,4,3,3,Non,183,25,M,8639,Marié(e),Cadre Commercial,2,2,0,0,3,28,3,Infra & Cloud,Occasionnel,2
3,3,4,4,1,3,Oui,184,30,M,6347,Marié(e),Ressources Humaines,0,11,0,0,2,9,3,Ressources Humaines,Occasionnel,4
1,3,1,1,4,4,Non,190,32,F,4200,Célibataire,Consultant,7,5,1,0,2,9,3,Transformation Digitale,Occasionnel,0
3,3,4,2,2,3,Non,192,45,M,3452,Célibataire,Assistant de Direction,5,6,0,0,2,29,3,Transformation Digitale,Occasionnel,0
4,3,3,2,3,4,Oui,193,38,F,4317,Célibataire,Assistant de Direction,3,3,0,0,2,3,5,Entrepreunariat,Occasionnel,2
1,3,3,3,2,3,Non,194,30,F,2632,Célibataire,Assistant de Direction,1,5,0,0,4,18,3,Infra & Cloud,Occasionnel,0
4,1,4,4,4,3,Non,195,32,M,4668,Divorcé(e),Cadre Commercial,0,8,0,3,2,9,2,Transformation Digitale,Frequent,0
4,3,1,4,3,3,Non,197,30,F,3204,Divorcé(e),Assistant de Direction,5,3,0,1,3,5,3,Entrepreunariat,Occasionnel,2
2,2,4,4,3,3,Non,198,30,M,2720,Célibataire,Consultant,0,5,0,0,3,2,1,Transformation Digitale,Occasionnel,1
4,2,1,2,2,3,Non,199,41,M,17181,Divorcé(e),Senior Manager,4,7,0,1,2,10,3,Infra & Cloud,Frequent,7
3,3,1,4,3,4,Non,200,41,M,2238,Marié(e),Consultant,2,5,0,1,2,9,4,Infra & Cloud,Occasionnel,1
2,3,2,4,3,3,Non,201,19,F,1483,Célibataire,Consultant,1,1,0,0,3,3,1,Transformation Digitale,Occasionnel,0
2,3,2,1,3,3,Non,202,40,F,5605,Divorcé(e),Assistant de Direction,1,20,0,1,2,26,3,Transformation Digitale,Frequent,2
3,3,2,1,3,3,Non,204,35,M,7295,Marié(e),Cadre Commercial,1,10,0,2,3,1,5,Marketing,Occasionnel,0
2,3,3,4,1,4,Oui,205,53,M,2306,Marié(e),Représentant Commercial,2,7,0,1,3,6,2,Marketing,Occasionnel,4
2,3,2,3,1,3,Non,206,45,M,2348,Divorcé(e),Consultant,8,17,0,1,2,9,3,Infra & Cloud,Occasionnel,0
2,3,4,4,3,3,Non,207,32,F,8998,Célibataire,Cadre Commercial,1,9,0,0,2,8,3,Marketing,Frequent,3
4,3,3,1,3,3,Non,208,29,M,4319,Marié(e),Tech Lead,1,10,0,1,1,1,1,Entrepreunariat,Aucun,0
2,2,3,3,3,3,Non,211,51,M,6132,Marié(e),Tech Lead,2,1,0,0,2,7,4,Transformation Digitale,Occasionnel,0
2,2,2,2,2,4,Oui,214,58,F,3346,Marié(e),Assistant de Direction,4,1,0,1,3,9,3,Transformation Digitale,Occasionnel,0
3,2,4,1,2,3,Non,215,40,M,10855,Marié(e),Cadre Commercial,7,12,0,1,2,4,4,Marketing,Occasionnel,2
3,3,3,4,3,3,Non,216,34,F,2231,Marié(e),Représentant Commercial,6,4,0,1,3,2,4,Marketing,Frequent,1
3,3,4,1,3,4,Non,217,22,M,2323,Marié(e),Assistant de Direction,1,2,0,2,6,19,1,Transformation Digitale,Occasionnel,2
4,3,2,4,1,3,Non,218,27,M,2024,Divorcé(e),Assistant de Direction,6,2,0,1,1,9,3,Transformation Digitale,Aucun,2
3,3,4,3,1,3,Non,221,28,M,2713,Marié(e),Assistant de Direction,1,5,0,1,2,21,3,Transformation Digitale,Occasionnel,0
3,4,4,2,1,3,Oui,223,57,M,9439,Divorcé(e),Manager,3,5,0,1,2,24,2,Infra & Cloud,Occasionnel,1
3,2,3,4,2,3,Oui,224,27,M,2566,Divorcé(e),Assistant de Direction,1,1,0,1,2,3,3,Transformation Digitale,Aucun,0
3,3,2,2,3,3,Non,226,50,F,19926,Célibataire,Senior Manager,3,5,0,0,5,11,3,Infra & Cloud,Occasionnel,4
1,3,3,1,3,3,Non,227,41,M,2451,Divorcé(e),Assistant de Direction,4,9,0,1,2,14,3,Infra & Cloud,Occasionnel,1
2,3,4,3,3,3,Non,228,30,F,9419,Marié(e),Cadre Commercial,2,10,0,1,2,5,3,Infra & Cloud,Occasionnel,7
1,2,4,3,4,4,Non,230,38,F,8686,Célibataire,Cadre Commercial,4,8,0,0,2,1,4,Infra & Cloud,Occasionnel,0
3,3,3,1,3,4,Non,231,32,M,3038,Célibataire,Assistant de Direction,3,5,0,0,2,6,5,Infra & Cloud,Occasionnel,1
3,3,2,4,2,3,Oui,233,27,M,3058,Marié(e),Assistant de Direction,0,5,0,1,3,17,3,Entrepreunariat,Occasionnel,1
3,1,1,1,4,4,Non,235,19,F,2325,Célibataire,Représentant Commercial,0,0,1,0,5,1,1,Entrepreunariat,Frequent,0
4,3,2,3,2,3,Non,238,36,M,2088,Célibataire,Consultant,4,8,0,0,3,3,2,Transformation Digitale,Frequent,7
3,3,1,3,3,3,Non,239,30,M,3072,Divorcé(e),Consultant,1,12,0,2,4,9,3,Transformation Digitale,Aucun,6
3,3,1,1,4,3,Oui,240,45,F,5006,Divorcé(e),Cadre Commercial,4,5,0,1,3,4,2,Infra & Cloud,Occasionnel,0
3,3,1,3,3,3,Oui,241,56,F,4257,Divorcé(e),Assistant de Direction,4,2,0,1,3,8,3,Infra & Cloud,Occasionnel,2
3,3,4,1,4,3,Non,242,33,M,2500,Célibataire,Assistant de Direction,0,3,0,0,2,2,3,Infra & Cloud,Occasionnel,0
2,2,4,3,2,4,Non,243,19,M,1102,Célibataire,Consultant,1,1,1,0,3,2,3,Infra & Cloud,Occasionnel,1
2,3,1,3,3,4,Non,244,46,F,10453,Divorcé(e),Cadre Commercial,1,24,0,3,2,1,2,Marketing,Occasionnel,15
3,3,4,3,3,3,Non,245,38,F,2288,Célibataire,Consultant,1,2,0,0,3,9,2,Infra & Cloud,Occasionnel,2
3,3,4,3,3,4,Oui,246,31,F,3929,Marié(e),Assistant de Direction,8,4,0,1,0,12,1,Transformation Digitale,Occasionnel,0
4,3,2,4,3,3,Non,247,34,F,2311,Célibataire,Assistant de Direction,2,3,0,0,3,27,2,Transformation Digitale,Occasionnel,1
2,3,2,4,2,4,Oui,248,41,F,3140,Célibataire,Représentant Commercial,1,4,1,0,5,20,2,Marketing,Occasionnel,0
3,2,3,4,2,3,Non,249,50,M,3690,Marié(e),Consultant,2,3,0,1,2,1,3,Transformation Digitale,Occasionnel,0
4,4,1,3,3,3,Non,250,53,F,4450,Divorcé(e),Tech Lead,1,4,0,2,3,13,2,Transformation Digitale,Occasionnel,1
4,3,2,4,3,3,Non,252,33,F,2756,Marié(e),Assistant de Direction,1,8,0,1,5,14,3,Transformation Digitale,Occasionnel,1
4,3,3,2,3,3,Non,253,40,F,19033,Marié(e),Senior Manager,1,20,0,1,2,4,1,Transformation Digitale,Occasionnel,9
3,4,2,4,3,3,Non,254,55,M,18722,Célibataire,Directeur Technique,8,24,0,0,3,14,4,Transformation Digitale,Occasionnel,2
4,2,3,3,2,3,Non,256,34,M,9547,Marié(e),Tech Lead,1,10,0,0,2,2,1,Infra & Cloud,Frequent,1
4,3,2,3,3,3,Non,258,51,F,13734,Célibataire,Manager,3,7,0,0,6,3,3,Transformation Digitale,Occasionnel,1
3,2,3,1,3,3,Non,259,52,M,19999,Marié(e),Senior Manager,0,33,0,1,5,1,4,Infra & Cloud,Occasionnel,11
4,3,2,4,2,3,Non,260,27,F,2279,Célibataire,Assistant de Direction,1,7,0,0,2,9,3,Transformation Digitale,Occasionnel,0
2,2,3,1,3,3,Oui,261,35,M,5916,Marié(e),Tech Lead,3,1,1,0,1,23,2,Infra & Cloud,Occasionnel,0
4,4,4,4,4,3,Non,262,43,M,2089,Divorcé(e),Assistant de Direction,4,5,0,3,3,7,3,Transformation Digitale,Aucun,2
1,2,4,4,3,4,Non,264,45,M,16792,Marié(e),Senior Manager,9,20,0,1,1,2,2,Transformation Digitale,Aucun,11
2,4,1,1,2,3,Oui,267,37,M,3564,Marié(e),Assistant de Direction,1,8,0,1,3,21,3,Infra & Cloud,Occasionnel,1
